                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.79905,                 1.2165,                 1.2625,                0.63459,                 0.5895,                0.59039,                0.28696,                 1.1405,                   3.53,                 1.2368,             0.00082925,             0.00082925,             0.00082925
                     36,                0.79848,                 1.1789,                 1.2379,                   0.75,                0.62635,                 0.6515,                0.35192,                  1.241,                  3.452,                 1.3551,             0.00081688,             0.00081688,             0.00081688
                     37,                 0.7812,                 1.0667,                 1.1986,                0.63036,                0.47974,                0.56739,                0.33083,                 1.1626,                 3.6734,                 1.3184,              0.0008045,              0.0008045,              0.0008045
                     38,                0.75374,                  1.042,                 1.2051,                0.63897,                0.79722,                0.77663,                0.44452,                 1.0491,                 3.5349,                  1.243,             0.00079213,             0.00079213,             0.00079213
                     39,                0.74336,                 1.0764,                 1.2192,                0.53927,                0.43611,                0.48524,                0.27591,                 1.0287,                 3.3134,                 1.2281,             0.00077975,             0.00077975,             0.00077975
                     40,                0.73298,                 1.0619,                  1.198,                0.47414,                0.66648,                0.64851,                0.40246,                 1.0348,                 3.3975,                 1.2057,             0.00076738,             0.00076738,             0.00076738
                     41,                0.75672,                 1.0952,                 1.2298,                0.53743,                0.52574,                0.57818,                0.35791,                0.99369,                 3.5063,                 1.1295,               0.000755,               0.000755,               0.000755
                     42,                 0.7178,                0.98818,                 1.1769,                0.83944,                0.66212,                0.90215,                0.52036,                0.90022,                 3.3225,                 1.0591,             0.00074263,             0.00074263,             0.00074263
                     43,                0.70228,                 1.0157,                 1.1447,                0.67704,                0.95938,                0.99225,                0.59951,                0.90678,                 2.7761,                 1.0586,             0.00073025,             0.00073025,             0.00073025
                     44,                0.77506,                 1.1309,                 1.2237,                0.82861,                0.97948,                  0.995,                0.59527,                0.87865,                 2.5109,                  1.026,             0.00071788,             0.00071788,             0.00071788
                     45,                0.69884,                 1.0262,                 1.1773,                0.88916,                0.93827,                  0.995,                0.61012,                0.84961,                 2.2767,                 1.0284,              0.0007055,              0.0007055,              0.0007055
                     46,                0.78522,                 1.1148,                 1.1829,                0.86262,                0.88929,                  0.995,                0.63558,                0.85839,                 2.0902,                 1.0192,             0.00069313,             0.00069313,             0.00069313
                     47,                0.74997,                 1.0306,                 1.1996,                0.83979,                0.87054,                  0.995,                0.61793,                0.83495,                 2.4528,                  1.002,             0.00068075,             0.00068075,             0.00068075
                     48,                0.71201,                 1.0522,                 1.2109,                0.71889,                0.92478,                  0.995,                0.59149,                0.86114,                 3.1831,                 1.0012,             0.00066838,             0.00066838,             0.00066838
                     49,                0.60905,                0.92183,                 1.0966,                0.58468,                0.61215,                0.61132,                0.35133,                0.95745,                 3.9826,                 1.0902,               0.000656,               0.000656,               0.000656
                     50,                 0.7613,                 1.0681,                 1.2289,                0.89868,                0.39316,                0.40161,                 0.2516,                 1.0155,                 3.4796,                 1.1598,             0.00064362,             0.00064362,             0.00064362
                     51,                0.77001,                 1.1129,                 1.2629,                0.67713,                0.92012,                0.98071,                0.56469,                0.99403,                 2.8505,                 1.1473,             0.00063125,             0.00063125,             0.00063125
                     52,                0.67283,                0.90167,                 1.1355,                0.80227,                 0.9266,                0.98071,                0.56145,                0.98017,                 2.3655,                 1.1188,             0.00061887,             0.00061887,             0.00061887
                     53,                0.80623,                0.98381,                 1.1999,                0.83082,                0.94898,                0.98667,                0.57849,                0.97663,                 2.1846,                 1.0914,              0.0006065,              0.0006065,              0.0006065
                     54,                0.61248,                 0.9269,                 1.1035,                0.85035,                0.93632,                0.97278,                0.56591,                0.96405,                 2.1427,                 1.0659,             0.00059413,             0.00059413,             0.00059413
                     55,                0.64179,                0.89765,                 1.1182,                0.98536,                0.69775,                0.73792,                 0.4536,                0.95314,                 2.0771,                 1.0754,             0.00058175,             0.00058175,             0.00058175
                     56,                0.70942,                0.88354,                 1.1597,                0.97358,                0.50213,                0.54567,                0.32298,                0.94142,                 2.1235,                  1.045,             0.00056938,             0.00056938,             0.00056938
                     57,                0.65891,                0.98769,                 1.1548,                0.66772,                0.63796,                0.67713,                0.44269,                0.90963,                 2.1517,                 1.0276,               0.000557,               0.000557,               0.000557
                     58,                0.64778,                 0.8573,                 1.1329,                0.95237,                0.47778,                0.51807,                0.32174,                0.87018,                 2.1168,                0.99624,             0.00054463,             0.00054463,             0.00054463
                     59,                0.62905,                0.87014,                 1.1298,                0.88239,                0.89098,                  0.995,                 0.6551,                0.85736,                 2.0629,                0.98512,             0.00053225,             0.00053225,             0.00053225
                     60,                0.60546,                0.85675,                 1.1286,                0.91401,                0.39962,                0.40161,                  0.261,                0.88068,                  1.938,                0.97492,             0.00051988,             0.00051988,             0.00051988
                     61,                0.67062,                0.87125,                 1.1125,                0.95358,                0.39981,                0.40161,                0.25786,                0.83893,                  1.869,                0.95683,              0.0005075,              0.0005075,              0.0005075
                     62,                0.70477,                0.91814,                 1.1746,                0.87915,                0.52778,                0.52643,                0.34168,                0.81887,                 1.7962,                0.96791,             0.00049513,             0.00049513,             0.00049513
                     63,                 0.6403,                0.87964,                 1.1129,                0.62696,                0.69444,                0.69143,                0.46598,                0.77617,                 1.8657,                0.94673,             0.00048275,             0.00048275,             0.00048275
                     64,                 0.6386,                0.80247,                 1.1447,                0.56376,                   0.75,                0.73792,                0.50496,                0.78575,                 1.8653,                0.96168,             0.00047038,             0.00047038,             0.00047038
                     65,                0.66003,                0.83224,                 1.1582,                0.46252,                0.52778,                 0.5264,                0.35153,                0.84462,                 1.8095,                0.99735,               0.000458,               0.000458,               0.000458
                     66,                0.57878,                 0.8545,                 1.1459,                0.92459,                0.61111,                  0.609,                0.40344,                0.86609,                 1.7264,                 1.0134,             0.00044563,             0.00044563,             0.00044563
                     67,                0.61899,                0.86432,                 1.1151,                0.97978,                0.61111,                0.60899,                0.38906,                0.87537,                 1.6877,                  1.004,             0.00043325,             0.00043325,             0.00043325
                     68,                 0.5968,                0.77361,                 1.1363,                0.95948,                0.40278,                0.40159,                0.25825,                0.86821,                 1.6094,                0.98776,             0.00042087,             0.00042087,             0.00042087
                     69,                0.60739,                0.81223,                 1.0961,                0.98838,                0.55528,                0.55395,                0.35631,                0.84399,                 1.5916,                 0.9711,              0.0004085,              0.0004085,              0.0004085
                     70,                0.60573,                0.80968,                 1.1002,                0.96199,                0.55556,                0.55395,                 0.3916,                  0.822,                 1.6191,                0.96943,             0.00039613,             0.00039613,             0.00039613
                     71,                0.59417,                0.82835,                 1.0734,                0.90791,                0.69202,                0.69138,                0.46273,                0.83543,                 1.6614,                0.98001,             0.00038375,             0.00038375,             0.00038375
                     72,                0.56594,                0.80118,                 1.0683,                0.87928,                0.51125,                0.54562,                0.36968,                0.82757,                 1.6841,                0.97215,             0.00037138,             0.00037138,             0.00037138
                     73,                 0.5781,                0.74237,                 1.1085,                0.39888,                0.25278,                0.23552,                0.12048,                0.83574,                 1.7434,                0.98311,               0.000359,               0.000359,               0.000359
                     74,                0.59545,                0.73732,                 1.1173,                0.63225,                0.67504,                0.70215,                0.47525,                0.80493,                 1.8162,                0.95283,             0.00034663,             0.00034663,             0.00034663
